ClientAccountID,CurrencyPrimary,AssetClass,FXRateToBase,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,UnderlyingConid,UnderlyingSymbol,Issuer,ReportDate,Quantity,Multiplier,MarkPrice,PositionValue,OpenPrice,CostBasisPrice,CostBasisMoney,PercentOfNAV,FifoPnlUnrealized,Side,LevelOfDetail,OpenDateTime,HoldingPeriodDateTime,Code,OriginatingOrderID
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,300,1,4.21,1263,5.035,5.035,1510.5,,-247.5,Long,LOT,20110919;112018,20110919;112018,,318074927
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,200,1,4.21,842,5.035,5.035,1007,,-165,Long,LOT,20110919;111447,20110919;111447,,318074927
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,200,1,4.21,842,5.035,5.035,1007,,-165,Long,LOT,20110919;111343,20110919;111343,,318074927
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,400,1,4.21,1684,5.035,5.035,2014,,-330,Long,LOT,20110919;111313,20110919;111313,,318074927
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,5.035,5.035,503.5,,-82.5,Long,LOT,20110919;111244,20110919;111244,,318074927
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,5.045,5.045,504.5,,-83.5,Long,LOT,20110919;103121,20110919;103121,,318047507
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,800,1,4.21,3368,5.055,5.055,4044,,-676,Long,LOT,20110919;103121,20110919;103121,,318047507
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,500,1,4.21,2105,5.045,5.045,2522.5,,-417.5,Long,LOT,20110919;103121,20110919;103121,,318047507
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,5.045,5.045,504.5,,-83.5,Long,LOT,20110919;103121,20110919;103121,,318047507
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,545,1,4.21,2294.45,5.135,5.135,2798.575,,-504.125,Long,LOT,20110916;155842,20110916;155842,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,3100,1,4.21,13051,5.135,5.135,15918.5,,-2867.5,Long,LOT,20110916;155842,20110916;155842,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,24,1,4.21,101.04,5.135,5.135,123.24,,-22.2,Long,LOT,20110916;155842,20110916;155842,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,700,1,4.21,2947,5.135,5.135,3594.5,,-647.5,Long,LOT,20110916;155842,20110916;155842,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,75,1,4.21,315.75,5.135,5.135,385.125,,-69.375,Long,LOT,20110916;155730,20110916;155730,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,56,1,4.21,235.76,5.135,5.135,287.56,,-51.8,Long,LOT,20110916;155655,20110916;155655,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,5.135,5.135,513.5,,-92.5,Long,LOT,20110916;154935,20110916;154935,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,500,1,4.21,2105,5.135,5.135,2567.5,,-462.5,Long,LOT,20110916;154629,20110916;154629,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,5.135,5.135,513.5,,-92.5,Long,LOT,20110916;154629,20110916;154629,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,5.135,5.135,513.5,,-92.5,Long,LOT,20110916;154437,20110916;154437,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,5.135,5.135,513.5,,-92.5,Long,LOT,20110916;154437,20110916;154437,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,5.135,5.135,513.5,,-92.5,Long,LOT,20110916;154437,20110916;154437,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,5.135,5.135,513.5,,-92.5,Long,LOT,20110916;154338,20110916;154338,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,300,1,4.21,1263,5.135,5.135,1540.5,,-277.5,Long,LOT,20110916;153549,20110916;153549,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,400,1,4.21,1684,5.135,5.135,2054,,-370,Long,LOT,20110916;153311,20110916;153311,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,200,1,4.21,842,5.135,5.135,1027,,-185,Long,LOT,20110916;153311,20110916;153311,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,400,1,4.21,1684,5.135,5.135,2054,,-370,Long,LOT,20110916;153311,20110916;153311,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,100,1,4.21,421,5.135,5.135,513.5,,-92.5,Long,LOT,20110916;153311,20110916;153311,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,700,1,4.21,2947,5.135,5.135,3594.5,,-647.5,Long,LOT,20110916;152959,20110916;152959,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,1500,1,4.21,6315,5.135,5.135,7702.5,,-1387.5,Long,LOT,20110916;152959,20110916;152959,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,700,1,4.21,2947,5.135,5.135,3594.5,,-647.5,Long,LOT,20110916;152521,20110916;152521,,317808311
U1234567,USD,STK,1,CXDC,CHINA XD PLASTICS CO LTD,57697895,,,,,,,,20121119,400,1,4.21,1684,5.135,5.135,2054,,-370,Long,LOT,20110916;152509,20110916;152509,,317808311
