"ClientAccountID","AccountAlias","CurrencyPrimary","StartingCash","StartingCashSecurities","StartingCashCommodities","ClientFees","ClientFeesSecurities","ClientFeesCommodities","Commissions","CommissionsSecurities","CommissionsCommodities","Deposits","DepositsSecurities","DepositsCommodities","Withdrawals","WithdrawalsSecurities","WithdrawalsCommodities","EndingCash","EndingCashSecurities","EndingCashCommodities","EndingSettledCash","EndingSettledCashSecurities","EndingSettledCashCommodities","FromDate","ToDate"
"DU1237908","","BASE_SUMMARY","948927.0684","948927.0684","0","0","0","0","-104.07264","-104.07264","0","0","0","0","0","0","0","982477.16246","982477.16246","0","1082373.97616","1082373.97616","0","20181026","20181026"
"DU1237908","","EUR","29056","29056","0","0","0","0","0","0","0","0","0","0","0","0","0","37181","37181","0","29056","29056","0","20181026","20181026"
"DU1237908","","HKD","-328200","-328200","0","0","0","0","-816","-816","0","0","0","0","0","0","0","-380296","-380296","0","-329016","-329016","0","20181026","20181026"
"DU1237908","","USD","957734.12","957734.12","0","0","0","0","0","0","0","0","0","0","0","0","0","988582.62","988582.62","0","1091204.12","1091204.12","0","20181026","20181026"
